300, 600, 30
2, 513, 0, 29
2, 257, 0, 95
2, 9, 0, 45
2, 266, 0, 56
2, 285, 0, 96
2, 549, 0, 4
2, 294, 0, 46
2, 168, 0, 18
2, 560, 0, 35
2, 317, 0, 25
2, 63, 0, 7
2, 592, 0, 17
2, 339, 0, 71
2, 220, 0, 30
2, 221, 0, 37
2, 110, 0, 76
2, 368, 0, 88
2, 114, 0, 12
2, 510, 0, 29
2, 419, 1, 75
2, 357, 1, 22
2, 486, 1, 56
2, 166, 1, 25
2, 554, 1, 76
2, 11, 1, 50
2, 76, 1, 62
2, 268, 1, 15
2, 204, 1, 94
2, 427, 1, 2
2, 144, 1, 10
2, 400, 1, 23
2, 594, 1, 92
2, 434, 1, 22
2, 468, 1, 53
2, 569, 1, 25
2, 411, 1, 13
2, 286, 1, 77
2, 384, 2, 41
2, 513, 2, 29
2, 385, 2, 35
2, 3, 2, 84
2, 281, 2, 72
2, 29, 2, 61
2, 295, 2, 18
2, 299, 2, 66
2, 431, 2, 47
2, 574, 2, 79
2, 448, 2, 96
2, 323, 2, 74
2, 196, 2, 21
2, 74, 2, 26
2, 593, 2, 91
2, 338, 2, 11
2, 349, 2, 72
2, 222, 2, 91
2, 351, 2, 32
2, 223, 2, 61
2, 100, 2, 47
2, 229, 2, 4
2, 366, 2, 20
2, 367, 2, 79
2, 124, 2, 69
2, 256, 3, 53
2, 20, 3, 88
2, 283, 3, 34
2, 424, 3, 75
2, 552, 3, 74
2, 47, 3, 49
2, 439, 3, 61
2, 320, 3, 64
2, 586, 3, 82
2, 75, 3, 11
2, 81, 3, 43
2, 226, 3, 28
2, 361, 3, 97
2, 233, 3, 78
2, 362, 3, 98
2, 115, 3, 67
2, 500, 3, 21
2, 248, 3, 73
2, 377, 3, 12
2, 123, 3, 43
2, 252, 3, 38
2, 516, 4, 35
2, 142, 4, 83
2, 148, 4, 84
2, 278, 4, 86
2, 165, 4, 16
2, 294, 4, 46
2, 45, 4, 29
2, 566, 4, 1
2, 569, 4, 25
2, 442, 4, 100
2, 190, 4, 72
2, 323, 4, 74
2, 70, 4, 26
2, 335, 4, 70
2, 468, 4, 53
2, 226, 4, 28
2, 356, 4, 92
2, 499, 4, 54
2, 505, 4, 98
2, 250, 4, 79
2, 512, 5, 52
2, 324, 5, 4
2, 133, 5, 83
2, 458, 5, 61
2, 459, 5, 5
2, 493, 5, 18
2, 110, 5, 76
2, 337, 5, 39
2, 474, 5, 92
2, 52, 5, 72
2, 308, 5, 12
2, 182, 5, 55
2, 538, 5, 16
2, 444, 5, 84
2, 349, 5, 72
2, 30, 5, 88
2, 545, 6, 37
2, 503, 6, 39
2, 142, 6, 83
2, 219, 6, 7
2, 275, 6, 80
2, 115, 6, 67
2, 307, 6, 27
2, 211, 6, 58
2, 87, 6, 43
2, 568, 6, 49
2, 505, 6, 98
2, 315, 6, 48
2, 94, 6, 4
2, 479, 6, 69
2, 280, 7, 65
2, 382, 7, 87
2, 3, 7, 84
2, 517, 7, 82
2, 6, 7, 12
2, 104, 7, 32
2, 78, 7, 41
2, 143, 7, 42
2, 366, 7, 20
2, 340, 7, 55
