300, 600, 30
18, 258, 0, 47
18, 579, 0, 61
18, 227, 0, 73
18, 260, 0, 47
18, 390, 0, 97
18, 455, 0, 13
18, 171, 0, 51
18, 213, 0, 94
18, 502, 0, 16
18, 440, 0, 83
18, 569, 0, 19
18, 283, 0, 8
18, 540, 0, 67
18, 62, 0, 12
18, 266, 1, 96
18, 523, 1, 73
18, 141, 1, 6
18, 398, 1, 67
18, 536, 1, 70
18, 410, 1, 56
18, 43, 1, 65
18, 47, 1, 5
18, 303, 1, 51
18, 306, 1, 23
18, 568, 1, 50
18, 185, 1, 39
18, 443, 1, 53
18, 582, 1, 37
18, 589, 1, 38
18, 352, 1, 86
18, 481, 1, 25
18, 102, 1, 5
18, 491, 1, 29
18, 108, 1, 38
18, 237, 1, 16
18, 494, 1, 43
18, 114, 1, 54
18, 501, 1, 52
18, 385, 2, 15
18, 130, 2, 47
18, 133, 2, 65
18, 269, 2, 53
18, 17, 2, 52
18, 273, 2, 93
18, 409, 2, 88
18, 27, 2, 28
18, 32, 2, 5
18, 554, 2, 2
18, 561, 2, 11
18, 58, 2, 67
18, 188, 2, 66
18, 201, 2, 71
18, 462, 2, 60
18, 207, 2, 86
18, 480, 2, 57
18, 227, 2, 73
18, 494, 2, 43
18, 112, 2, 13
18, 503, 2, 91
18, 123, 2, 3
18, 32, 3, 5
18, 544, 3, 36
18, 195, 3, 6
18, 324, 3, 17
18, 456, 3, 30
18, 392, 3, 50
18, 266, 3, 96
18, 232, 3, 27
18, 527, 3, 34
18, 308, 3, 51
18, 278, 3, 28
18, 23, 3, 58
18, 472, 3, 77
18, 505, 3, 54
18, 190, 3, 91
18, 62, 3, 12
18, 228, 4, 12
18, 165, 4, 44
18, 485, 4, 89
18, 37, 4, 46
18, 264, 4, 22
18, 230, 4, 1
18, 263, 4, 22
18, 586, 4, 72
18, 108, 4, 38
18, 529, 4, 59
18, 178, 4, 66
18, 531, 4, 39
18, 52, 4, 86
18, 309, 4, 88
18, 371, 4, 84
18, 249, 4, 84
18, 474, 4, 26
18, 379, 4, 80
18, 358, 5, 78
18, 231, 5, 74
18, 542, 5, 88
18, 326, 5, 55
18, 300, 5, 84
18, 334, 5, 76
18, 595, 5, 51
18, 308, 5, 51
18, 30, 5, 100
18, 531, 5, 39
18, 247, 5, 43
18, 120, 5, 92
18, 95, 5, 11
18, 447, 5, 35
18, 64, 6, 73
18, 129, 6, 18
18, 356, 6, 49
18, 38, 6, 56
18, 361, 6, 30
18, 459, 6, 20
18, 462, 6, 60
18, 463, 6, 13
18, 208, 6, 90
18, 274, 6, 26
18, 21, 6, 72
18, 566, 6, 68
18, 280, 6, 59
18, 569, 6, 19
18, 123, 6, 3
18, 157, 6, 45
18, 254, 6, 34
18, 5, 7, 83
18, 133, 7, 65
18, 26, 7, 60
18, 412, 7, 58
18, 542, 7, 88
18, 420, 7, 24
18, 548, 7, 45
18, 550, 7, 51
18, 556, 7, 7
18, 303, 7, 51
18, 176, 7, 23
18, 307, 7, 94
18, 319, 7, 31
18, 195, 7, 6
18, 199, 7, 36
18, 583, 7, 34
18, 203, 7, 92
18, 460, 7, 13
18, 343, 7, 36
18, 218, 7, 42
18, 475, 7, 74
18, 112, 7, 13
18, 498, 7, 94
18, 379, 7, 80
18, 384, 8, 63
18, 167, 8, 84
18, 459, 8, 20
18, 44, 8, 41
18, 271, 8, 54
18, 159, 8, 47
18, 387, 9, 32
18, 262, 9, 5
18, 140, 9, 81
18, 528, 9, 67
18, 274, 9, 26
18, 279, 9, 26
18, 410, 9, 56
18, 166, 9, 3
18, 550, 9, 51
18, 305, 9, 9
18, 309, 9, 88
18, 314, 9, 93
18, 62, 9, 12
18, 581, 9, 82
18, 584, 9, 27
18, 460, 9, 13
18, 207, 9, 86
18, 97, 9, 28
18, 361, 9, 30
18, 235, 9, 99
18, 108, 9, 38
18, 376, 9, 44
18, 383, 9, 9
18, 385, 10, 15
18, 516, 10, 83
18, 392, 10, 50
18, 144, 10, 89
18, 278, 10, 28
18, 150, 10, 44
18, 25, 10, 64
18, 26, 10, 60
18, 415, 10, 18
18, 547, 10, 78
18, 48, 10, 39
18, 56, 10, 91
18, 57, 10, 86
18, 321, 10, 54
18, 327, 10, 89
18, 460, 10, 13
18, 85, 10, 66
18, 343, 10, 36
18, 472, 10, 77
18, 347, 10, 22
18, 355, 10, 88
18, 231, 10, 74
18, 490, 10, 21
18, 377, 10, 3
18, 125, 10, 8
18, 129, 11, 18
18, 387, 11, 32
18, 139, 11, 99
18, 148, 11, 42
18, 535, 11, 59
18, 537, 11, 61
18, 283, 11, 8
18, 286, 11, 32
18, 288, 11, 22
18, 164, 11, 40
18, 550, 11, 51
18, 173, 11, 65
18, 568, 11, 50
18, 442, 11, 62
18, 198, 11, 3
18, 583, 11, 34
18, 72, 11, 45
18, 74, 11, 47
18, 202, 11, 46
18, 205, 11, 67
18, 590, 11, 97
18, 215, 11, 66
18, 96, 11, 88
18, 358, 11, 78
18, 546, 12, 54
18, 414, 12, 78
18, 101, 12, 44
18, 198, 12, 3
18, 488, 12, 28
18, 73, 12, 67
18, 591, 12, 25
18, 594, 12, 80
18, 29, 12, 46
18, 87, 12, 2
18, 119, 12, 19
