300, 600, 30
6, 129, 0, 43
6, 482, 0, 73
6, 44, 0, 4
6, 378, 0, 42
6, 287, 0, 99
6, 257, 1, 93
6, 397, 1, 70
6, 15, 1, 81
6, 281, 1, 100
6, 539, 1, 2
6, 427, 1, 50
6, 555, 1, 69
6, 305, 1, 69
6, 435, 1, 56
6, 308, 1, 3
6, 312, 1, 48
6, 60, 1, 18
6, 585, 1, 100
6, 464, 1, 18
6, 89, 1, 61
6, 477, 1, 61
6, 237, 1, 27
6, 110, 1, 84
6, 116, 1, 34
6, 373, 1, 81
6, 504, 1, 92
6, 386, 2, 18
6, 228, 2, 7
6, 104, 2, 46
6, 493, 2, 40
6, 80, 2, 42
6, 48, 2, 57
6, 178, 2, 18
6, 277, 2, 15
6, 311, 2, 9
6, 512, 3, 11
6, 0, 3, 41
6, 392, 3, 40
6, 293, 3, 19
6, 550, 3, 51
6, 169, 3, 43
6, 298, 3, 94
6, 45, 3, 42
6, 431, 3, 52
6, 563, 3, 16
6, 187, 3, 49
6, 448, 3, 41
6, 335, 3, 20
6, 468, 3, 99
6, 215, 3, 88
6, 343, 3, 87
6, 345, 3, 15
6, 358, 3, 4
6, 493, 3, 40
6, 505, 3, 43
6, 255, 3, 38
6, 390, 4, 7
6, 39, 4, 95
6, 486, 4, 76
6, 393, 4, 17
6, 428, 4, 93
6, 397, 4, 70
6, 270, 4, 48
6, 431, 4, 52
6, 369, 4, 29
6, 530, 4, 59
6, 533, 4, 43
6, 248, 4, 29
6, 59, 4, 68
6, 414, 4, 72
6, 102, 5, 75
6, 583, 5, 34
6, 302, 5, 14
6, 562, 5, 16
6, 564, 5, 99
6, 149, 5, 100
6, 52, 5, 27
6, 23, 5, 2
6, 248, 5, 29
6, 516, 6, 79
6, 138, 6, 89
6, 530, 6, 59
6, 406, 6, 17
6, 283, 6, 12
6, 546, 6, 67
6, 165, 6, 22
6, 304, 6, 98
6, 434, 6, 15
6, 184, 6, 11
6, 441, 6, 53
6, 572, 6, 24
6, 206, 6, 1
6, 341, 6, 71
6, 91, 6, 15
6, 355, 6, 43
6, 229, 6, 35
6, 361, 6, 87
6, 237, 6, 27
6, 377, 6, 34
6, 123, 6, 58
6, 484, 7, 22
6, 235, 7, 50
6, 176, 7, 31
6, 371, 7, 81
6, 597, 7, 34
6, 354, 8, 16
6, 329, 8, 92
6, 41, 8, 21
6, 394, 8, 34
6, 76, 8, 33
6, 145, 8, 47
6, 220, 8, 53
6, 514, 9, 35
6, 131, 9, 23
6, 38, 9, 74
6, 519, 9, 14
6, 138, 9, 89
6, 459, 9, 59
6, 11, 9, 75
6, 426, 9, 77
6, 270, 9, 48
6, 527, 9, 75
6, 400, 9, 1
6, 213, 9, 40
6, 471, 9, 32
6, 313, 9, 9
6, 410, 9, 51
6, 219, 9, 22
6, 508, 9, 97
6, 413, 9, 8
6, 385, 10, 41
6, 451, 10, 24
6, 164, 10, 47
6, 293, 10, 19
6, 454, 10, 16
