100, 200, 10
42, 35, 0, 76
42, 132, 0, 30
42, 68, 0, 99
42, 135, 0, 73
42, 50, 0, 80
42, 120, 0, 46
42, 186, 0, 19
42, 192, 1, 95
42, 162, 1, 15
42, 153, 1, 42
42, 67, 1, 12
42, 167, 1, 44
42, 8, 1, 89
42, 137, 1, 13
42, 71, 1, 4
42, 107, 1, 97
42, 43, 1, 43
42, 75, 1, 80
42, 144, 1, 3
42, 57, 1, 62
42, 90, 1, 14
42, 123, 1, 26
42, 92, 1, 64
42, 95, 1, 22
42, 195, 2, 25
42, 197, 2, 37
42, 136, 2, 1
42, 72, 2, 29
42, 76, 2, 99
42, 14, 2, 79
42, 175, 2, 19
42, 112, 2, 16
42, 81, 2, 34
42, 22, 2, 24
42, 86, 2, 23
42, 24, 2, 85
42, 57, 2, 62
42, 190, 2, 33
42, 1, 3, 27
42, 2, 3, 5
42, 146, 3, 89
42, 154, 3, 57
42, 160, 3, 68
42, 166, 3, 49
42, 42, 3, 28
42, 172, 3, 99
42, 174, 3, 20
42, 180, 3, 68
42, 56, 3, 23
42, 60, 3, 25
42, 188, 3, 48
42, 67, 3, 12
42, 70, 3, 96
42, 82, 3, 10
42, 106, 3, 58
42, 108, 3, 67
42, 111, 3, 82
42, 113, 3, 43
42, 96, 4, 86
42, 166, 4, 49
42, 107, 4, 97
42, 182, 4, 20
42, 189, 4, 17
42, 26, 5, 22
42, 71, 5, 4
42, 167, 5, 44
42, 104, 5, 24
42, 14, 5, 79
42, 49, 5, 85
42, 82, 5, 10
42, 84, 5, 79
42, 186, 5, 19
42, 63, 5, 74
42, 32, 6, 66
42, 65, 6, 20
42, 2, 6, 5
42, 99, 6, 43
42, 37, 6, 91
42, 198, 6, 99
42, 7, 6, 98
42, 170, 6, 15
42, 80, 6, 73
42, 85, 6, 67
42, 22, 6, 24
42, 59, 6, 75
42, 29, 6, 67
42, 36, 7, 63
42, 133, 7, 62
42, 38, 7, 7
42, 39, 7, 23
42, 40, 7, 31
42, 105, 7, 93
42, 196, 7, 7
42, 102, 7, 53
42, 140, 7, 39
42, 77, 7, 24
42, 110, 7, 20
42, 176, 7, 2
42, 17, 7, 50
42, 178, 7, 78
42, 18, 7, 11
42, 22, 7, 24
42, 56, 7, 23
42, 1, 8, 27
42, 194, 8, 86
42, 68, 8, 99
42, 171, 8, 58
42, 44, 8, 85
42, 28, 8, 30
42, 17, 8, 50
42, 18, 8, 11
42, 181, 8, 65
42, 92, 8, 64
42, 130, 9, 55
42, 4, 9, 95
42, 143, 9, 65
42, 146, 9, 89
42, 20, 9, 61
42, 165, 9, 46
42, 166, 9, 49
42, 44, 9, 85
42, 52, 9, 14
42, 55, 9, 21
42, 59, 9, 75
42, 194, 9, 86
42, 73, 9, 43
42, 85, 9, 67
42, 93, 9, 8
42, 100, 9, 2
42, 105, 9, 93
42, 106, 9, 58
42, 114, 9, 79
42, 127, 9, 73
42, 33, 10, 21
42, 162, 10, 15
42, 131, 10, 94
42, 1, 10, 27
42, 197, 10, 37
42, 41, 10, 11
42, 42, 10, 28
42, 177, 10, 72
42, 146, 10, 89
42, 115, 10, 92
42, 87, 10, 63
42, 55, 10, 21
42, 151, 10, 69
42, 153, 10, 42
42, 56, 10, 23
42, 27, 10, 75
42, 164, 11, 41
42, 70, 11, 96
42, 166, 11, 49
42, 6, 11, 84
42, 137, 11, 13
42, 170, 11, 15
42, 48, 11, 98
42, 146, 11, 89
42, 114, 11, 79
42, 84, 11, 79
42, 20, 11, 61
42, 24, 11, 85
42, 153, 11, 42
42, 93, 11, 8
42, 65, 12, 20
42, 197, 12, 37
42, 6, 12, 84
42, 170, 12, 15
42, 45, 12, 5
42, 125, 12, 46
42, 189, 12, 17
42, 88, 12, 52
42, 123, 12, 26
42, 93, 12, 8
42, 97, 13, 37
42, 169, 13, 51
42, 114, 13, 79
42, 118, 13, 86
42, 57, 13, 62
42, 94, 13, 4
42, 129, 14, 91
42, 164, 14, 41
42, 5, 14, 90
42, 196, 14, 7
42, 103, 14, 14
42, 175, 14, 19
42, 83, 14, 6
42, 125, 14, 46
42, 158, 14, 41
42, 192, 15, 95
42, 33, 15, 21
42, 2, 15, 5
42, 6, 15, 84
42, 199, 15, 70
42, 105, 15, 93
42, 42, 15, 28
42, 78, 15, 77
42, 49, 15, 85
42, 84, 15, 79
42, 54, 15, 39
42, 57, 15, 62
42, 158, 15, 41
42, 172, 16, 99
42, 143, 16, 65
42, 147, 16, 76
42, 20, 16, 61
42, 85, 16, 67
42, 86, 16, 23
42, 186, 16, 19
42, 0, 17, 5
42, 101, 17, 72
42, 81, 17, 34
42, 146, 17, 89
42, 145, 17, 83
42, 21, 17, 81
42, 99, 18, 43
42, 70, 18, 96
42, 170, 18, 15
42, 106, 18, 58
42, 148, 18, 86
42, 184, 18, 86
42, 89, 18, 78
42, 125, 18, 46
42, 166, 19, 49
42, 7, 19, 98
42, 74, 19, 15
42, 171, 19, 58
42, 140, 19, 39
42, 109, 19, 34
42, 51, 19, 30
42, 84, 19, 79
42, 184, 19, 86
42, 90, 19, 14
42, 125, 19, 46
42, 3, 20, 19
42, 43, 20, 43
42, 108, 20, 67
42, 16, 20, 89
42, 49, 20, 85
42, 150, 20, 26
42, 120, 20, 46
42, 93, 20, 8
42, 1, 21, 27
42, 4, 21, 95
42, 169, 21, 51
42, 105, 21, 93
42, 138, 21, 43
42, 183, 21, 5
42, 0, 22, 5
42, 65, 22, 20
42, 1, 22, 27
42, 193, 22, 45
42, 2, 22, 5
42, 166, 22, 49
42, 71, 22, 4
42, 141, 22, 47
42, 78, 22, 77
42, 143, 22, 65
42, 79, 22, 33
42, 178, 22, 78
42, 186, 22, 19
42, 30, 22, 47
42, 192, 23, 95
42, 66, 23, 14
42, 163, 23, 23
42, 100, 23, 2
42, 164, 23, 41
42, 70, 23, 96
42, 133, 23, 62
42, 146, 23, 89
42, 180, 23, 68
42, 118, 23, 86
42, 152, 23, 99
42, 122, 23, 21
42, 88, 23, 52
42, 192, 24, 95
42, 193, 24, 45
42, 165, 24, 46
42, 10, 24, 32
42, 11, 24, 72
42, 43, 24, 43
42, 108, 24, 67
42, 78, 24, 77
42, 107, 24, 97
42, 80, 24, 73
42, 17, 24, 50
42, 110, 24, 20
42, 84, 24, 79
42, 22, 24, 24
42, 64, 25, 49
42, 193, 25, 45
42, 130, 25, 55
42, 197, 25, 37
42, 198, 25, 99
42, 38, 25, 7
42, 41, 25, 11
42, 107, 25, 97
42, 12, 25, 23
42, 141, 25, 47
42, 55, 25, 21
42, 56, 25, 23
42, 92, 25, 64
42, 93, 25, 8
42, 62, 25, 40
42, 161, 26, 66
42, 43, 26, 43
42, 171, 26, 58
42, 45, 26, 5
42, 149, 26, 80
42, 86, 26, 23
42, 119, 26, 3
42, 64, 27, 49
42, 198, 27, 99
42, 167, 27, 44
42, 136, 27, 1
42, 73, 27, 43
42, 106, 27, 58
42, 139, 27, 64
42, 108, 27, 67
42, 43, 27, 43
42, 19, 27, 87
42, 182, 27, 20
42, 150, 27, 26
42, 56, 27, 23
42, 157, 27, 92
42, 161, 28, 66
42, 99, 28, 43
42, 165, 28, 46
42, 104, 28, 24
42, 49, 28, 85
42, 20, 28, 61
42, 186, 28, 19
42, 123, 28, 26
42, 159, 28, 50
42, 169, 29, 51
42, 106, 29, 58
42, 76, 29, 99
42, 143, 29, 65
42, 112, 29, 16
42, 52, 29, 14
42, 149, 29, 80
42, 20, 29, 61
42, 26, 29, 22
42, 155, 29, 56
42, 127, 29, 73
42, 129, 30, 91
42, 71, 30, 4
42, 104, 30, 24
42, 169, 30, 51
42, 8, 30, 89
42, 179, 30, 46
42, 125, 30, 46
42, 151, 30, 69
42, 152, 30, 99
42, 155, 30, 56
42, 60, 30, 25
42, 189, 30, 17
42, 32, 31, 66
42, 164, 31, 41
42, 133, 31, 62
42, 101, 31, 72
42, 134, 31, 71
42, 167, 31, 44
42, 108, 31, 67
42, 155, 31, 56
42, 76, 31, 99
42, 16, 31, 89
42, 58, 31, 36
42, 59, 31, 75
42, 28, 31, 30
42, 191, 31, 12
42, 97, 32, 37
42, 99, 32, 43
42, 37, 32, 91
42, 8, 32, 89
42, 18, 32, 11
42, 186, 32, 19
42, 191, 32, 12
42, 129, 33, 91
42, 3, 33, 19
42, 6, 33, 84
42, 17, 33, 50
42, 23, 33, 80
42, 155, 33, 56
42, 159, 33, 50
42, 33, 33, 21
42, 34, 33, 14
42, 164, 33, 41
42, 177, 33, 72
42, 50, 33, 80
42, 199, 33, 70
42, 72, 33, 29
42, 79, 33, 33
42, 81, 33, 34
42, 82, 33, 10
42, 87, 33, 63
42, 114, 33, 79
42, 117, 33, 67
42, 4, 34, 95
42, 70, 34, 96
42, 8, 34, 89
42, 73, 34, 43
42, 171, 34, 58
42, 142, 34, 44
42, 79, 34, 33
